intro|||Quinta-feira, 7 de Outubro de 2010 I Série —  Número 10
intro|||XI LEGISLATURA 2.ª SESSÃO LEGISLATIVA (2010-2011)
intro|||REUNIÃO PLENÁRIA DE 6 DE OUTUBRO DE 2010
orfao|||Presidente: Ex. mo Sr. Jaime José Matos da Gama
orfao|||Secretários: Ex. mos Srs. Maria Celeste Lopes da Silva Correia\nPaulo Jorge Frazão Batista dos Santos\nAbel Lima Baptista\nPedro Filipe Gomes Soares
sumario|||SUMÁRIO  1.ª Parte. —  Às 15 horas, e dando início à Sessão Solene Comemorativa do Centenário da Implantação da República, entrou na Sala das Sessões o cortejo em que se integravam o Presidente da Assembleia da República, os Vice-Presidentes, os Secretários da Mesa, a SecretáriaGeral da Assembleia da República, o Director do Gabinete de Relações Internacionais e Protocolo e o Chefe de Gabinete do Presidente da Assembleia da República.\nNo Hemiciclo encontravam-se já os Deputados e Ministros.\nEncontravam-se ainda presentes, nas tribunas e galerias, os Presidentes do Supremo Tribunal de Justiça, do Supremo Tribunal Administrativo e do Tribunal de Contas, o Presidente do maior partido da oposição, o Procurador-Geral da República, o Chefe do Estado-Maior General das Forças Armadas, o Provedor de Justiça, o Secretário Regional da Agricultura e Florestas dos Açores, os Chefes dos EstadosMaiores da Armada e do Exército e o Vice-Chefe de Estado da Força Aérea dois Juízes Conselheiros do Tribunal Constitucional, os Vice-Presidentes do Supremo Tribunal de Justiça, o Comandante-Geral da Guarda Nacional Republicana, o Director Nacional da Polícia de Segurança Pública, o Secretário-Geral da Presidência da República, o Secretário-Geral do Ministério dos Negócios Estrangeiros o Chefe do Protocolo do Estado, o Presidente da Câmara Municipal de Loures, a Presidente da Assembleia Municipal de Lisboa, em representação do Presidente da Câmara Municipal de Lisboa, o Comandante Naval e o Comandante do Comando das Forças Terrestres, o anterior Presidente da República Mário Soares, os anteriores Presidentes da Assembleia da República Oliveira Dias e Almeida Santos, o anterior Primeiro-Ministro Pinto Balsemão, o Corpo Diplomático, o Director do Gabinete do Parlamento Europeu em Portugal, os Secretários de Estado, o representante do Presidente do Conselho de Fiscalização do Sistema de Informações da República Portuguesa, o Presidente da Comissão Nacional de Protecção de Dados, o representante da Entidade Reguladora para a Comunicação Social, o Presidente do Conselho Nacional de Procriação Medicamente Assistida, o Presidente da Comissão de Acesso aos Documentos Administrativos, membros da Comissão da Liberdade Religiosa, a Direcção da Associação dos ex-Deputados da AR, os familiares de Anselmo Braamcamp Freire e outras individualidades convidadas, os representantes dos órgãos de comunicação social e o público.\nConstituída a Mesa, a Banda da Guarda Nacional Republicana executou o hino nacional.\nSeguiram-se os discursos dos Srs. Deputados José Luís Ferreira (Os Verdes), Francisco Lopes (PCP), Fernando Rosas (BE), Assunção Cristas (CDS-PP), Pacheco Pereira (PSD) e Maria de Belém Roseira (PS), do Sr. Ministro dos Assuntos Parlamentares (Jorge Lacão) e do Sr. Presidente da Assembleia da República.\nA sessão foi suspensa eram 16 horas e 6 minutos, tendo sido, de novo, executado o hino nacional pela Banda da Guarda Nacional Republicana.\n2.ª Parte. —  O Sr. Presidente declarou reaberta a sessão às 17 horas 4 minutos.\nDeu-se conta da entrada na Mesa das apreciações parlamentares n. os 63 a 65/XI (2.ª), dos projectos de resolução n. os 268 a 278/XI (2.ª) e dos projectos de lei n. os 428 e 429/XI (2.ª).\nForam apreciados os projectos de resolução n. os 158/XI (1.ª) —  Recomenda ao Governo a criação de um portal Internet dedicado à exportação de produtos portugueses (PS) e 269/XI (2.ª) —  Recomenda ao Governo a criação de uma central de vendas e promoção on-line de produtos portugueses (CDS-PP), sobre os quais se pronunciaram os Srs. Deputados Jorge Seguro Sanches (PS), Hélder Amaral (CDS-PP), Nuno Reis (PSD), Agostinho Lopes (PCP) e Pedro Filipe Soares (BE).\nA Câmara apreciou também, em conjunto, os projectos de resolução n. os 261/XI (2.ª) —  Recomenda medidas urgentes a adoptar pelo Governo em matéria de protecção e valorização da floresta (PSD), 267/XI (2.ª) —  As áreas protegidas e os incêndios florestais de 2010 (PCP) e 273/XI (2.ª) —  Recomenda ao Governo a adopção de medidas para prevenir os incêndios florestais (BE), tendo proferido intervenções os Srs. Deputados Paulo Batista Santos (PSD), Agostinho Lopes (PCP), Pedro Soares (BE), José Luís Ferreira (Os Verdes), Abel Baptista (CDS-PP) e Miguel Freitas (PS).\nForam discutidos, conjuntamente, o projecto de lei n.º 325/XI (1.ª) —  Remoção de amianto em edifícios, instalações e equipamentos públicos (Os Verdes), na generalidade, e os projectos de resolução n. os 268/XI (2.ª) —  Prioridade na execução das medidas associadas à exposição, utilização e remoção de amianto previstas na Estratégia Nacional para a Segurança e Saúde no Trabalho 2008 —  2012 (CDS-PP) e 271/XI (2.ª) —  Recomenda ao Governo a adopção de medidas para prevenir e mitigar os riscos da exposição ao amianto nos edifícios públicos (BE), sobre os quais se pronunciaram os Srs. Deputados Heloísa Apolónia (Os Verdes), João Pinho de Almeida (CDS-PP), Rita Calvário (BE), Acácio Pinto (PS), António Cabeleira (PSD) e Paula Santos (PCP).\nForam discutidos conjuntamente a petição n.º 64/XI (1.ª) —  Apresentada por Luísa Jacinta Soares Dias Ferreira e outros, solicitando à Assembleia da República a preservação, restauro e manutenção do Complexo das Sete Fontes, bem como a proibição de construção nas suas imediações, e os projectos de resolução n. os 270/XI (2.ª) —  Recomenda ao Governo a conclusão do processo de classificação do Complexo Monumental das Sete Fontes (CDS-PP) e 276/XI (2.ª) —  Recomenda ao Governo a publicação do despacho de classificação do Complexo das Sete Fontes e a adopção de medidas para a sua protecção (BE). Intervieram os Srs. Deputados Maria Antonieta Dias (CDS-PP), Pedro Soares (BE), Miguel Macedo (PSD), Agostinho Lopes (PCP), José Luís Ferreira (Os Verdes) e Miguel Laranjeiro (PS).\nO Sr. Presidente encerrou a sessão eram 18 horas e 51 minutos.
presidente|Presidente||Sr.as e Srs. Deputados, Srs. Membros do Governo, Distintos e Ilustres Convidados,\ndeclaro aberta a Sessão Solene Comemorativa do I Centenário da República.
orfao|||Eram 15 horas.
orfao|||Neste momento, a Banda da Guarda Nacional Republicana, colocada junto aos Passos Perdidos, executou\no Hino Nacional.
chamada_presentes|||Deputados presentes à sessão:
